,CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason
0,3668-QPYBK,1,0,0,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,53.85,108.15,1,1,86,3239,Competitor made better offer
1,9237-HQITU,1,0,0,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,70.7,151.65,1,1,67,2701,Moved
2,9305-CDSKC,1,0,0,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,1,0,0,1,8,0,1,0,0,0,1,0,1,1,0,0,0,99.65,820.5,1,1,86,5372,Moved
3,7892-POOKP,1,0,0,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,1,0,1,1,28,0,1,0,0,0,1,1,1,1,0,0,0,104.8,3046.05,1,1,84,5003,Moved
4,0280-XJGEX,1,0,0,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,0,0,0,1,49,0,1,0,0,1,1,0,1,1,0,0,2,103.7,5036.3,1,1,89,5340,Competitor had better devices
5,4190-MFLUW,1,0,0,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,1,0,1,0,10,0,0,1,0,0,1,1,0,0,0,1,3,55.2,528.35,1,1,78,5925,Competitor offered higher download speeds
6,8779-QRDMV,1,0,0,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,0,1,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,39.65,39.65,1,1,100,5433,Competitor offered more data
7,1066-JKSGK,1,0,0,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,1,1,20.15,20.15,1,1,92,4832,Competitor made better offer
8,6467-CHFZW,1,0,0,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,0,0,1,1,47,0,1,0,0,1,0,0,1,1,0,0,0,99.35,4749.15,1,1,77,5789,Competitor had better devices
9,8665-UTDHZ,1,0,0,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,0,0,1,0,1,1,2,1,0,1,0,0,0,0,0,1,0,30.2,30.2,1,1,97,2915,Competitor had better devices
10,8773-HHUOZ,1,0,0,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,1,0,0,0,17,0,0,1,0,0,0,0,1,1,0,0,1,64.7,1093.1,1,1,74,3022,Competitor offered higher download speeds
